,longitude,latitude,Postal_Code,Region,Province,Municipality,Price,Price_m2,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Furnished,Open_fire,Terrace,Terrace_Area,Garden,Garden_Area,Number_of_Facades,Swimming_Pool,Disabled_Access,Lift
8655,5.577531125648646,50.59185028437595,4000,1,7,Liège,265000,3154,1,APARTMENT,6,2,84,1,0,0,1,5,0,0,2,0,0,1
8659,4.43799132057269,50.81019872509648,1160,0,0,Auderghem,710000,5867,1,APARTMENT,5,3,121,1,0,0,1,8,0,0,2,0,1,1
8661,4.377065860435231,50.822325604082295,1050,0,0,Ixelles,549000,2815,1,APARTMENT,5,4,195,1,0,0,1,11,0,0,2,0,0,0
8662,4.377065860435231,50.822325604082295,1000,0,0,Ixelles,890000,3068,1,APARTMENT,6,4,290,1,0,0,1,60,0,0,2,0,0,1
8663,4.854539162275639,50.457759547420494,5000,1,1,Namur,247000,3293,1,APARTMENT,0,1,75,0,0,0,1,7,0,0,4,0,0,1
8665,4.375234148039785,50.87298266192055,1020,0,0,Bruxelles,324000,2592,1,DUPLEX,3,2,125,0,0,0,1,11,0,0,3,0,0,1
8666,3.14160121764503,51.29837935392511,8370,2,10,Blankenberge,249000,2862,1,APARTMENT,0,2,87,0,0,0,1,5,0,0,2,0,0,0
8668,5.577531125648646,50.59185028437595,4031,1,7,Liège,159000,495,0,HOUSE,5,2,96,0,0,0,1,42,1,225,4,0,0,0
8669,3.720262345300755,51.053260703972086,9000,2,9,Gent,370000,3700,1,APARTMENT,6,2,100,1,0,0,1,10,0,0,2,0,0,1
8671,4.293920189965437,50.86465279974552,1082,0,0,Berchem-Sainte-Agathe,265000,2650,1,APARTMENT,5,2,100,0,0,0,1,10,0,0,2,0,1,1
8672,4.101311151466272,50.95430084590078,9310,2,9,Aalst,395000,544,0,MIXED_USE_BUILDING,3,7,431,0,0,0,1,25,1,295,2,0,0,0
8674,3.8691914611452813,50.75631465402039,9500,2,9,Geraardsbergen,160000,1088,0,MIXED_USE_BUILDING,3,4,147,0,0,0,1,22,0,0,2,0,0,0
8675,4.199980231053451,50.83953171216256,1703,2,6,Dilbeek,320000,1523,0,HOUSE,6,3,135,1,0,0,1,30,1,75,2,0,0,0
8677,5.181064535082792,50.49945695953772,4500,1,7,Huy,228500,2538,1,APARTMENT,5,2,90,0,0,0,1,12,0,0,4,0,0,0
8678,4.43799132057269,50.81019872509648,1160,0,0,Auderghem,377800,5555,1,APARTMENT,5,1,68,1,0,0,1,7,0,0,2,0,1,1
8679,5.7415202000238965,49.68523319258533,6700,1,4,Arlon,200000,4255,1,APARTMENT,6,1,47,0,0,0,1,8,0,0,2,0,0,1
